[START] MenuResources
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":0,"phase":"before","privateBytes":2203648,"workingSetBytes":11710464,"handles":146,"gdi":0,"user":4}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":0,"phase":"open","privateBytes":71467008,"workingSetBytes":56180736,"handles":647,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":0,"phase":"closed","privateBytes":71262208,"workingSetBytes":56754176,"handles":645,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":1,"phase":"before","privateBytes":71262208,"workingSetBytes":56758272,"handles":645,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":1,"phase":"open","privateBytes":73080832,"workingSetBytes":58466304,"handles":651,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":1,"phase":"closed","privateBytes":72892416,"workingSetBytes":58294272,"handles":646,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":2,"phase":"before","privateBytes":72892416,"workingSetBytes":58294272,"handles":645,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":2,"phase":"open","privateBytes":73187328,"workingSetBytes":58589184,"handles":651,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":2,"phase":"closed","privateBytes":72990720,"workingSetBytes":58417152,"handles":645,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":3,"phase":"before","privateBytes":72990720,"workingSetBytes":58417152,"handles":645,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":3,"phase":"open","privateBytes":73363456,"workingSetBytes":58761216,"handles":652,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":3,"phase":"closed","privateBytes":73179136,"workingSetBytes":58593280,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":4,"phase":"before","privateBytes":73179136,"workingSetBytes":58593280,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":4,"phase":"open","privateBytes":73388032,"workingSetBytes":58785792,"handles":656,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":4,"phase":"closed","privateBytes":73203712,"workingSetBytes":58617856,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":5,"phase":"before","privateBytes":73203712,"workingSetBytes":58617856,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":5,"phase":"open","privateBytes":73424896,"workingSetBytes":58830848,"handles":656,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":5,"phase":"closed","privateBytes":73240576,"workingSetBytes":58662912,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":6,"phase":"before","privateBytes":73240576,"workingSetBytes":58662912,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":6,"phase":"open","privateBytes":73678848,"workingSetBytes":59117568,"handles":656,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":6,"phase":"closed","privateBytes":73494528,"workingSetBytes":58949632,"handles":650,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":7,"phase":"before","privateBytes":73494528,"workingSetBytes":58949632,"handles":650,"gdi":4,"user":8}
