[START] MenuResources
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":0,"phase":"before","privateBytes":2174976,"workingSetBytes":10797056,"handles":140,"gdi":0,"user":4}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":0,"phase":"open","privateBytes":71221248,"workingSetBytes":55169024,"handles":641,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":0,"phase":"closed","privateBytes":71008256,"workingSetBytes":55750656,"handles":639,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":1,"phase":"before","privateBytes":71008256,"workingSetBytes":55750656,"handles":639,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":1,"phase":"open","privateBytes":72359936,"workingSetBytes":57229312,"handles":645,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":1,"phase":"closed","privateBytes":72163328,"workingSetBytes":57053184,"handles":639,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":2,"phase":"before","privateBytes":72163328,"workingSetBytes":57053184,"handles":639,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":2,"phase":"open","privateBytes":72503296,"workingSetBytes":57384960,"handles":645,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":2,"phase":"closed","privateBytes":72310784,"workingSetBytes":57212928,"handles":639,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":3,"phase":"before","privateBytes":72310784,"workingSetBytes":57212928,"handles":639,"gdi":4,"user":7}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":3,"phase":"open","privateBytes":72572928,"workingSetBytes":57450496,"handles":646,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":3,"phase":"closed","privateBytes":72384512,"workingSetBytes":57286656,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":4,"phase":"before","privateBytes":72384512,"workingSetBytes":57286656,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":4,"phase":"open","privateBytes":72609792,"workingSetBytes":57516032,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":4,"phase":"closed","privateBytes":72417280,"workingSetBytes":57352192,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":5,"phase":"before","privateBytes":72417280,"workingSetBytes":57352192,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":5,"phase":"open","privateBytes":73068544,"workingSetBytes":57556992,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":5,"phase":"closed","privateBytes":72880128,"workingSetBytes":57397248,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":6,"phase":"before","privateBytes":72880128,"workingSetBytes":57397248,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":6,"phase":"open","privateBytes":73457664,"workingSetBytes":58089472,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":6,"phase":"closed","privateBytes":73269248,"workingSetBytes":57921536,"handles":645,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":7,"phase":"before","privateBytes":73269248,"workingSetBytes":57921536,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":7,"phase":"open","privateBytes":73469952,"workingSetBytes":58191872,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":7,"phase":"closed","privateBytes":73281536,"workingSetBytes":58023936,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":8,"phase":"before","privateBytes":73281536,"workingSetBytes":58023936,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":8,"phase":"open","privateBytes":73482240,"workingSetBytes":58277888,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":8,"phase":"closed","privateBytes":73293824,"workingSetBytes":58109952,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":9,"phase":"before","privateBytes":73293824,"workingSetBytes":58109952,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":9,"phase":"open","privateBytes":73482240,"workingSetBytes":58310656,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":9,"phase":"closed","privateBytes":73285632,"workingSetBytes":58134528,"handles":645,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":10,"phase":"before","privateBytes":73285632,"workingSetBytes":58134528,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":10,"phase":"open","privateBytes":73617408,"workingSetBytes":58441728,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":10,"phase":"closed","privateBytes":73424896,"workingSetBytes":58273792,"handles":645,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":11,"phase":"before","privateBytes":73424896,"workingSetBytes":58273792,"handles":645,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":11,"phase":"open","privateBytes":73625600,"workingSetBytes":58482688,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":11,"phase":"closed","privateBytes":73433088,"workingSetBytes":58314752,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":12,"phase":"before","privateBytes":73433088,"workingSetBytes":58314752,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":12,"phase":"open","privateBytes":73633792,"workingSetBytes":58519552,"handles":650,"gdi":4,"user":9}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":12,"phase":"closed","privateBytes":73441280,"workingSetBytes":58351616,"handles":644,"gdi":4,"user":8}
{"fixture":"dxui-menu-resources-v1","mode":"plain","cycle":13,"phase":"before","privateBytes":73441280,"workingSetBytes":58351616,"handles":644,"gdi":4,"user":8}
